ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,-hotdogturtle--,Advokaiser,Akkrillic,Arti,azuarc,banshiryuu,barreldragon88,Bluenugget64,cakophon,ChichiriMuyo,Citrus_,Collen,DireKrow,DoctorJimmy133,dowolf,DragonImps,FFDragon,FL81,Flamander,GameBopAdv,handsomeboy2012,Haste_2,HBJDubs,Hbthebattle,Janus5k,JONALEON1,KanzarisKelshen,kaonashi1,KCF0107,Kikoman589,loweffortmemes,Mac Arrowny,MadamEglat,malyg,missadelyn,MoonRunes,Mr Lasastryke,Mythiot,NFUN,PabloSmith,PIayer_0,Place,Plasman,Prody Parrot,pyresword,Pyromide,quantumB,Raetsel_Lapin,Raycon,rwlh,Sceptilesolar,sergiocornaga,Shonen_Bat,slykirby,Snake5555555555,Snowva,SuperNiceDog,tazzyboyishere,Team Rocket Elite,tennisboy213,th3l3fty,TheArkOfTurus,Toxtricity,trdl23,trizob,TsunamiXXVIII,UF8,xarlable,Xiahou Shake,xp1337,xx521xx,ZelRaat,Zigzagoon,Zyxyz0
85,Blue Reflection - DNF FW15C (ALL PHASE MIX),Outer Wilds - Outer Wilds,35,10,45,25,Blue Reflection - DNF FW15C (ALL PHASE MIX),,Blue Reflection - DNF FW15C (ALL PHASE MIX),,,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,,Blue Reflection - DNF FW15C (ALL PHASE MIX),,Outer Wilds - Outer Wilds,Outer Wilds - Outer Wilds,,,Outer Wilds - Outer Wilds,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Outer Wilds - Outer Wilds,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,Blue Reflection - DNF FW15C (ALL PHASE MIX),Outer Wilds - Outer Wilds,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,Outer Wilds - Outer Wilds,Outer Wilds - Outer Wilds,Outer Wilds - Outer Wilds,Blue Reflection - DNF FW15C (ALL PHASE MIX),,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Outer Wilds - Outer Wilds,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,,,,Outer Wilds - Outer Wilds,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,,Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),Blue Reflection - DNF FW15C (ALL PHASE MIX),,
86,Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),17,28,45,11,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),,,,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,,,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),,Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,,,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),,Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),,,,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),,Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,,,,,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,,,Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,,,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),Phoenix Wright: Ace Attorney: Spirit of Justice - Apollo Justice ~ A New Chapter of Trials! 2016,Granblue Fantasy Versus - Butterfly Girl (VS Narmaya),,
87,Super Smash Bros. Ultimate - Dark Man Stage,Gravity Rush 2 - Night Gale,26,20,46,6,Super Smash Bros. Ultimate - Dark Man Stage,,Gravity Rush 2 - Night Gale,,Gravity Rush 2 - Night Gale,,Super Smash Bros. Ultimate - Dark Man Stage,Super Smash Bros. Ultimate - Dark Man Stage,,Gravity Rush 2 - Night Gale,Gravity Rush 2 - Night Gale,,,Super Smash Bros. Ultimate - Dark Man Stage,,Super Smash Bros. Ultimate - Dark Man Stage,Gravity Rush 2 - Night Gale,,,Gravity Rush 2 - Night Gale,Gravity Rush 2 - Night Gale,Super Smash Bros. Ultimate - Dark Man Stage,,Super Smash Bros. Ultimate - Dark Man Stage,Super Smash Bros. Ultimate - Dark Man Stage,Super Smash Bros. Ultimate - Dark Man Stage,Super Smash Bros. Ultimate - Dark Man Stage,Gravity Rush 2 - Night Gale,,Super Smash Bros. Ultimate - Dark Man Stage,Super Smash Bros. Ultimate - Dark Man Stage,,Super Smash Bros. Ultimate - Dark Man Stage,Super Smash Bros. Ultimate - Dark Man Stage,,,,Super Smash Bros. Ultimate - Dark Man Stage,Gravity Rush 2 - Night Gale,,Gravity Rush 2 - Night Gale,Super Smash Bros. Ultimate - Dark Man Stage,Super Smash Bros. Ultimate - Dark Man Stage,Super Smash Bros. Ultimate - Dark Man Stage,,Super Smash Bros. Ultimate - Dark Man Stage,,Super Smash Bros. Ultimate - Dark Man Stage,Gravity Rush 2 - Night Gale,Super Smash Bros. Ultimate - Dark Man Stage,,Gravity Rush 2 - Night Gale,Gravity Rush 2 - Night Gale,Super Smash Bros. Ultimate - Dark Man Stage,,,,Super Smash Bros. Ultimate - Dark Man Stage,Gravity Rush 2 - Night Gale,,Super Smash Bros. Ultimate - Dark Man Stage,Super Smash Bros. Ultimate - Dark Man Stage,Gravity Rush 2 - Night Gale,Gravity Rush 2 - Night Gale,Super Smash Bros. Ultimate - Dark Man Stage,,,Gravity Rush 2 - Night Gale,Gravity Rush 2 - Night Gale,,,Gravity Rush 2 - Night Gale,Super Smash Bros. Ultimate - Dark Man Stage,Gravity Rush 2 - Night Gale,,
88,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,7th Dragon III Code: VFD - ChRoNiClESeVeN,25,21,46,4,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,7th Dragon III Code: VFD - ChRoNiClESeVeN,,7th Dragon III Code: VFD - ChRoNiClESeVeN,7th Dragon III Code: VFD - ChRoNiClESeVeN,,,7th Dragon III Code: VFD - ChRoNiClESeVeN,,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,7th Dragon III Code: VFD - ChRoNiClESeVeN,,,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,7th Dragon III Code: VFD - ChRoNiClESeVeN,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,7th Dragon III Code: VFD - ChRoNiClESeVeN,,7th Dragon III Code: VFD - ChRoNiClESeVeN,7th Dragon III Code: VFD - ChRoNiClESeVeN,,,,7th Dragon III Code: VFD - ChRoNiClESeVeN,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,,7th Dragon III Code: VFD - ChRoNiClESeVeN,,7th Dragon III Code: VFD - ChRoNiClESeVeN,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,,7th Dragon III Code: VFD - ChRoNiClESeVeN,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,,,,7th Dragon III Code: VFD - ChRoNiClESeVeN,7th Dragon III Code: VFD - ChRoNiClESeVeN,,7th Dragon III Code: VFD - ChRoNiClESeVeN,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,7th Dragon III Code: VFD - ChRoNiClESeVeN,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,,,Pokemon Mystery Dungeon: Gates to Infinity - Infinite Dungeon 2,7th Dragon III Code: VFD - ChRoNiClESeVeN,,,7th Dragon III Code: VFD - ChRoNiClESeVeN,7th Dragon III Code: VFD - ChRoNiClESeVeN,7th Dragon III Code: VFD - ChRoNiClESeVeN,,
89,"Atelier Shallie - Flying Clouds, Drifting Haze",Sound Voltex III - Preserved Valkyria,28,17,45,11,"Atelier Shallie - Flying Clouds, Drifting Haze",,Sound Voltex III - Preserved Valkyria,,"Atelier Shallie - Flying Clouds, Drifting Haze",,"Atelier Shallie - Flying Clouds, Drifting Haze","Atelier Shallie - Flying Clouds, Drifting Haze",,Sound Voltex III - Preserved Valkyria,"Atelier Shallie - Flying Clouds, Drifting Haze",,,Sound Voltex III - Preserved Valkyria,,"Atelier Shallie - Flying Clouds, Drifting Haze","Atelier Shallie - Flying Clouds, Drifting Haze",,,"Atelier Shallie - Flying Clouds, Drifting Haze",Sound Voltex III - Preserved Valkyria,Sound Voltex III - Preserved Valkyria,,Sound Voltex III - Preserved Valkyria,Sound Voltex III - Preserved Valkyria,"Atelier Shallie - Flying Clouds, Drifting Haze","Atelier Shallie - Flying Clouds, Drifting Haze","Atelier Shallie - Flying Clouds, Drifting Haze",,"Atelier Shallie - Flying Clouds, Drifting Haze","Atelier Shallie - Flying Clouds, Drifting Haze",,"Atelier Shallie - Flying Clouds, Drifting Haze",Sound Voltex III - Preserved Valkyria,,,,"Atelier Shallie - Flying Clouds, Drifting Haze","Atelier Shallie - Flying Clouds, Drifting Haze",,"Atelier Shallie - Flying Clouds, Drifting Haze",Sound Voltex III - Preserved Valkyria,"Atelier Shallie - Flying Clouds, Drifting Haze",Sound Voltex III - Preserved Valkyria,,Sound Voltex III - Preserved Valkyria,,"Atelier Shallie - Flying Clouds, Drifting Haze",,Sound Voltex III - Preserved Valkyria,,Sound Voltex III - Preserved Valkyria,"Atelier Shallie - Flying Clouds, Drifting Haze","Atelier Shallie - Flying Clouds, Drifting Haze",,,,"Atelier Shallie - Flying Clouds, Drifting Haze","Atelier Shallie - Flying Clouds, Drifting Haze",,"Atelier Shallie - Flying Clouds, Drifting Haze",Sound Voltex III - Preserved Valkyria,Sound Voltex III - Preserved Valkyria,"Atelier Shallie - Flying Clouds, Drifting Haze","Atelier Shallie - Flying Clouds, Drifting Haze",,,Sound Voltex III - Preserved Valkyria,Sound Voltex III - Preserved Valkyria,,,"Atelier Shallie - Flying Clouds, Drifting Haze","Atelier Shallie - Flying Clouds, Drifting Haze","Atelier Shallie - Flying Clouds, Drifting Haze",,
90,Burning Rangers - We Are Burning Rangers (English Version),"League of Legends - Taliyah, the Stoneweaver",26,20,46,6,Burning Rangers - We Are Burning Rangers (English Version),,Burning Rangers - We Are Burning Rangers (English Version),,Burning Rangers - We Are Burning Rangers (English Version),Burning Rangers - We Are Burning Rangers (English Version),"League of Legends - Taliyah, the Stoneweaver","League of Legends - Taliyah, the Stoneweaver",,Burning Rangers - We Are Burning Rangers (English Version),"League of Legends - Taliyah, the Stoneweaver",,,Burning Rangers - We Are Burning Rangers (English Version),,,"League of Legends - Taliyah, the Stoneweaver",,,Burning Rangers - We Are Burning Rangers (English Version),,Burning Rangers - We Are Burning Rangers (English Version),Burning Rangers - We Are Burning Rangers (English Version),Burning Rangers - We Are Burning Rangers (English Version),"League of Legends - Taliyah, the Stoneweaver",Burning Rangers - We Are Burning Rangers (English Version),Burning Rangers - We Are Burning Rangers (English Version),Burning Rangers - We Are Burning Rangers (English Version),,"League of Legends - Taliyah, the Stoneweaver","League of Legends - Taliyah, the Stoneweaver",,"League of Legends - Taliyah, the Stoneweaver","League of Legends - Taliyah, the Stoneweaver",,,,Burning Rangers - We Are Burning Rangers (English Version),Burning Rangers - We Are Burning Rangers (English Version),,"League of Legends - Taliyah, the Stoneweaver",Burning Rangers - We Are Burning Rangers (English Version),"League of Legends - Taliyah, the Stoneweaver",Burning Rangers - We Are Burning Rangers (English Version),,Burning Rangers - We Are Burning Rangers (English Version),"League of Legends - Taliyah, the Stoneweaver",Burning Rangers - We Are Burning Rangers (English Version),,Burning Rangers - We Are Burning Rangers (English Version),,"League of Legends - Taliyah, the Stoneweaver",Burning Rangers - We Are Burning Rangers (English Version),"League of Legends - Taliyah, the Stoneweaver",,,,Burning Rangers - We Are Burning Rangers (English Version),"League of Legends - Taliyah, the Stoneweaver",,"League of Legends - Taliyah, the Stoneweaver","League of Legends - Taliyah, the Stoneweaver","League of Legends - Taliyah, the Stoneweaver",Burning Rangers - We Are Burning Rangers (English Version),"League of Legends - Taliyah, the Stoneweaver",,,,Burning Rangers - We Are Burning Rangers (English Version),Burning Rangers - We Are Burning Rangers (English Version),,Burning Rangers - We Are Burning Rangers (English Version),"League of Legends - Taliyah, the Stoneweaver",Burning Rangers - We Are Burning Rangers (English Version),,
91,Taiko no Tatsujin 7 - Burning Force Medley,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,27,19,46,8,Taiko no Tatsujin 7 - Burning Force Medley,,Taiko no Tatsujin 7 - Burning Force Medley,,Taiko no Tatsujin 7 - Burning Force Medley,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,,Taiko no Tatsujin 7 - Burning Force Medley,Taiko no Tatsujin 7 - Burning Force Medley,,,Taiko no Tatsujin 7 - Burning Force Medley,,,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,,,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,,Taiko no Tatsujin 7 - Burning Force Medley,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,Taiko no Tatsujin 7 - Burning Force Medley,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,Taiko no Tatsujin 7 - Burning Force Medley,Taiko no Tatsujin 7 - Burning Force Medley,Taiko no Tatsujin 7 - Burning Force Medley,,Taiko no Tatsujin 7 - Burning Force Medley,Taiko no Tatsujin 7 - Burning Force Medley,,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,,,,Taiko no Tatsujin 7 - Burning Force Medley,Taiko no Tatsujin 7 - Burning Force Medley,,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,Taiko no Tatsujin 7 - Burning Force Medley,,Taiko no Tatsujin 7 - Burning Force Medley,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,Taiko no Tatsujin 7 - Burning Force Medley,,Taiko no Tatsujin 7 - Burning Force Medley,,Taiko no Tatsujin 7 - Burning Force Medley,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,Taiko no Tatsujin 7 - Burning Force Medley,,,,Taiko no Tatsujin 7 - Burning Force Medley,Taiko no Tatsujin 7 - Burning Force Medley,,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,Taiko no Tatsujin 7 - Burning Force Medley,Taiko no Tatsujin 7 - Burning Force Medley,,,,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,Taiko no Tatsujin 7 - Burning Force Medley,,Umineko no Naku Koro ni Chiru 6 - Infant Queen Bee,Taiko no Tatsujin 7 - Burning Force Medley,Taiko no Tatsujin 7 - Burning Force Medley,,
92,Undertale - ASGORE,Crystar - Revenger,19,26,45,7,Crystar - Revenger,,Crystar - Revenger,,Undertale - ASGORE,Crystar - Revenger,Crystar - Revenger,Undertale - ASGORE,,Undertale - ASGORE,Crystar - Revenger,,,Undertale - ASGORE,,,Crystar - Revenger,,,Crystar - Revenger,,Undertale - ASGORE,Undertale - ASGORE,Crystar - Revenger,Crystar - Revenger,Undertale - ASGORE,Crystar - Revenger,Crystar - Revenger,,Crystar - Revenger,Undertale - ASGORE,,Undertale - ASGORE,Crystar - Revenger,,,,Crystar - Revenger,Undertale - ASGORE,,Crystar - Revenger,Crystar - Revenger,Crystar - Revenger,Crystar - Revenger,,Crystar - Revenger,Undertale - ASGORE,Crystar - Revenger,,Crystar - Revenger,,Undertale - ASGORE,Crystar - Revenger,Undertale - ASGORE,,,,Undertale - ASGORE,Undertale - ASGORE,,,Crystar - Revenger,Crystar - Revenger,Crystar - Revenger,Crystar - Revenger,,,,Crystar - Revenger,Undertale - ASGORE,,Undertale - ASGORE,Undertale - ASGORE,Undertale - ASGORE,,
93,Ragnarok Tactics - Zeal Continent,Ratchet & Clank - Metropolis ~ Kerwan,31,13,44,18,Ragnarok Tactics - Zeal Continent,,,,Ragnarok Tactics - Zeal Continent,,Ratchet & Clank - Metropolis ~ Kerwan,Ragnarok Tactics - Zeal Continent,,Ragnarok Tactics - Zeal Continent,Ragnarok Tactics - Zeal Continent,,,Ratchet & Clank - Metropolis ~ Kerwan,,Ragnarok Tactics - Zeal Continent,Ragnarok Tactics - Zeal Continent,,,Ragnarok Tactics - Zeal Continent,,Ratchet & Clank - Metropolis ~ Kerwan,,Ragnarok Tactics - Zeal Continent,Ragnarok Tactics - Zeal Continent,Ragnarok Tactics - Zeal Continent,Ragnarok Tactics - Zeal Continent,Ragnarok Tactics - Zeal Continent,,Ragnarok Tactics - Zeal Continent,Ragnarok Tactics - Zeal Continent,,Ragnarok Tactics - Zeal Continent,Ratchet & Clank - Metropolis ~ Kerwan,,,,,Ragnarok Tactics - Zeal Continent,,Ragnarok Tactics - Zeal Continent,Ratchet & Clank - Metropolis ~ Kerwan,Ragnarok Tactics - Zeal Continent,,,Ragnarok Tactics - Zeal Continent,Ratchet & Clank - Metropolis ~ Kerwan,Ratchet & Clank - Metropolis ~ Kerwan,Ragnarok Tactics - Zeal Continent,Ratchet & Clank - Metropolis ~ Kerwan,,Ragnarok Tactics - Zeal Continent,Ragnarok Tactics - Zeal Continent,Ragnarok Tactics - Zeal Continent,,,,Ratchet & Clank - Metropolis ~ Kerwan,Ratchet & Clank - Metropolis ~ Kerwan,Ratchet & Clank - Metropolis ~ Kerwan,Ragnarok Tactics - Zeal Continent,Ratchet & Clank - Metropolis ~ Kerwan,Ragnarok Tactics - Zeal Continent,Ragnarok Tactics - Zeal Continent,Ragnarok Tactics - Zeal Continent,,,Ragnarok Tactics - Zeal Continent,Ragnarok Tactics - Zeal Continent,,,Ratchet & Clank - Metropolis ~ Kerwan,Ragnarok Tactics - Zeal Continent,Ragnarok Tactics - Zeal Continent,,
94,Silent Hill 3 - You're Not Here,Eschatos - Massive X,10,34,44,24,Eschatos - Massive X,,,,Eschatos - Massive X,,Silent Hill 3 - You're Not Here,Eschatos - Massive X,,Eschatos - Massive X,Eschatos - Massive X,,,Eschatos - Massive X,,Eschatos - Massive X,Silent Hill 3 - You're Not Here,,,Eschatos - Massive X,,Eschatos - Massive X,,Eschatos - Massive X,Silent Hill 3 - You're Not Here,Eschatos - Massive X,Eschatos - Massive X,Silent Hill 3 - You're Not Here,,Eschatos - Massive X,Eschatos - Massive X,,Silent Hill 3 - You're Not Here,Eschatos - Massive X,,,,,Eschatos - Massive X,,Eschatos - Massive X,Silent Hill 3 - You're Not Here,Silent Hill 3 - You're Not Here,,,Eschatos - Massive X,Silent Hill 3 - You're Not Here,Eschatos - Massive X,Eschatos - Massive X,Silent Hill 3 - You're Not Here,,Eschatos - Massive X,Silent Hill 3 - You're Not Here,Eschatos - Massive X,,,,Eschatos - Massive X,Eschatos - Massive X,Eschatos - Massive X,Eschatos - Massive X,Eschatos - Massive X,Eschatos - Massive X,Eschatos - Massive X,Eschatos - Massive X,,,Eschatos - Massive X,Eschatos - Massive X,,,Eschatos - Massive X,Eschatos - Massive X,Eschatos - Massive X,,
95,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,Atelier Rorona Plus - Flash Frost,28,15,43,13,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,,,,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,,Atelier Rorona Plus - Flash Frost,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,,Atelier Rorona Plus - Flash Frost,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,,,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,,,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,,Atelier Rorona Plus - Flash Frost,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,Atelier Rorona Plus - Flash Frost,,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,,,,,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,,,,Atelier Rorona Plus - Flash Frost,Atelier Rorona Plus - Flash Frost,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,Atelier Rorona Plus - Flash Frost,,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,Atelier Rorona Plus - Flash Frost,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,,,,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,Atelier Rorona Plus - Flash Frost,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,Atelier Rorona Plus - Flash Frost,Atelier Rorona Plus - Flash Frost,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,,,Atelier Rorona Plus - Flash Frost,Beatmania IIDX 22 PENDUAL - Despair of ELFERIA,,,Atelier Rorona Plus - Flash Frost,Atelier Rorona Plus - Flash Frost,Atelier Rorona Plus - Flash Frost,,
